"","0061.00113.0","0063.00113.0","0061.00115.0","0063.00115.0"
"1989-01-01",243.683456420898,241.098693847656,242.997604370117,240.331329345703
"1989-02-01",252.558654785156,250.326568603516,252.178344726562,249.993225097656
"1989-03-01",258.946044921875,257.074859619141,258.303649902344,256.540191650391
"1989-04-01",267.982421875,266.387878417969,267.312866210938,265.852569580078
"1989-05-01",276.286071777344,276.086120605469,276.120697021484,276.065460205078
"1989-06-01",287.773101806641,287.527374267578,287.915740966797,287.820953369141
"1989-07-01",290.608337402344,291.009429931641,291.012542724609,291.586486816406
"1989-08-01",283.292297363281,282.773254394531,283.659454345703,283.246429443359
"1989-09-01",273.33447265625,272.324615478516,273.418853759766,272.533721923828
"1989-10-01",267.568542480469,266.530517578125,267.316925048828,266.407257080078
"1989-11-01",247.670715332031,247.603378295898,247.393508911133,247.276565551758
"1989-12-01",244.262512207031,243.334365844727,244.199630737305,243.391998291016
"1990-01-01",248.877212524414,246.333831787109,248.169403076172,245.756362915039
"1990-02-01",253.721725463867,250.743438720703,252.944427490234,250.013061523438
"1990-03-01",259.070556640625,257.985443115234,258.632995605469,257.655578613281
"1990-04-01",265.010894775391,264.318176269531,264.904937744141,264.334228515625
"1990-05-01",275.12060546875,275.24462890625,275.185821533203,275.466125488281
"1990-06-01",281.622589111328,281.173980712891,281.543151855469,281.238342285156
"1990-07-01",288.430358886719,288.306976318359,288.097412109375,288.137145996094
"1990-08-01",282.315734863281,281.308471679688,281.97216796875,281.094116210938
"1990-09-01",275.179382324219,274.680145263672,274.959228515625,274.61474609375
"1990-10-01",266.714202880859,266.617218017578,266.688812255859,266.652435302734
"1990-11-01",252.253524780273,250.580932617188,252.137908935547,250.47444152832
"1990-12-01",244.770324707031,241.492416381836,244.443222045898,241.146667480469
"1991-01-01",241.285919189453,238.583297729492,240.900436401367,238.375701904297
"1991-02-01",245.49528503418,243.304458618164,245.03434753418,242.945159912109
"1991-03-01",261.139495849609,259.777709960938,260.704986572266,259.484222412109
"1991-04-01",267.292877197266,266.176239013672,266.799896240234,265.760772705078
"1991-05-01",275.948028564453,275.941345214844,276.017822265625,276.142700195312
"1991-06-01",285.053894042969,285.560852050781,284.768981933594,285.478515625
"1991-07-01",289.462829589844,289.808166503906,289.426696777344,290.083923339844
"1991-08-01",284.525177001953,283.914337158203,284.529571533203,284.093475341797
"1991-09-01",275.226959228516,274.399078369141,274.850524902344,274.204467773438
"1991-10-01",266.967437744141,266.080383300781,266.646087646484,265.845092773438
"1991-11-01",254.047302246094,251.077133178711,253.532730102539,250.474319458008
"1991-12-01",253.111709594727,251.534652709961,252.218139648438,250.551620483398
"1992-01-01",241.383850097656,239.788009643555,241.218978881836,239.625930786133
"1992-02-01",252.569534301758,251.571395874023,252.045394897461,251.050338745117
"1992-03-01",259.081878662109,256.904449462891,258.512268066406,256.397033691406
"1992-04-01",267.505584716797,266.650665283203,267.304870605469,266.581939697266
"1992-05-01",275.765930175781,275.633758544922,275.732482910156,275.706848144531
"1992-06-01",286.461059570312,286.536834716797,286.289001464844,286.57275390625
"1992-07-01",290.761444091797,289.166625976562,290.602783203125,289.211151123047
"1992-08-01",282.904479980469,281.215484619141,282.936676025391,281.398834228516
"1992-09-01",273.232055664062,272.582702636719,272.987884521484,272.564697265625
"1992-10-01",263.619750976562,262.885772705078,263.433441162109,262.724151611328
"1992-11-01",244.747695922852,242.391067504883,244.185607910156,242.051864624023
"1992-12-01",243.539184570312,239.765396118164,242.949600219727,239.578567504883
"1993-01-01",244.37353515625,241.821884155273,243.65544128418,241.318222045898
"1993-02-01",250.782958984375,248.90234375,249.770370483398,247.994079589844
"1993-03-01",259.103118896484,258.052001953125,258.906158447266,257.96044921875
"1993-04-01",267.576324462891,267.006286621094,267.248168945312,266.812561035156
"1993-05-01",278.029632568359,277.730621337891,277.959320068359,277.758514404297
"1993-06-01",286.567535400391,287.203643798828,286.790771484375,287.512420654297
"1993-07-01",286.618011474609,286.375854492188,286.517425537109,286.474151611328
"1993-08-01",279.238983154297,278.670959472656,279.293762207031,278.959136962891
"1993-09-01",277.590026855469,276.782592773438,277.430450439453,276.752471923828
"1993-10-01",263.021728515625,261.53076171875,262.572692871094,261.246032714844
"1993-11-01",245.798431396484,243.806838989258,245.605255126953,243.583190917969
"1993-12-01",241.470626831055,240.058303833008,241.0390625,239.657119750977
"1994-01-01",240.042282104492,240.03694152832,239.666839599609,239.564300537109
"1994-02-01",254.763229370117,252.970642089844,254.30696105957,252.567184448242
"1994-03-01",258.895660400391,256.951202392578,258.611541748047,256.754577636719
"1994-04-01",268.406005859375,267.893951416016,268.370635986328,267.955993652344
"1994-05-01",276.332061767578,276.420471191406,276.398101806641,276.565521240234
"1994-06-01",284.626190185547,284.715545654297,285.006072998047,285.298583984375
"1994-07-01",286.596405029297,286.116638183594,286.539764404297,286.211151123047
"1994-08-01",284.769592285156,284.902435302734,284.600006103516,284.859191894531
"1994-09-01",274.435638427734,273.914184570312,274.274017333984,273.961944580078
"1994-10-01",267.840576171875,266.392883300781,267.536804199219,266.116851806641
"1994-11-01",256.289733886719,254.623641967773,256.026245117188,254.319259643555
"1994-12-01",248.51725769043,246.436859130859,247.784133911133,245.639739990234
"1995-01-01",243.930618286133,242.257873535156,243.224655151367,241.351547241211
"1995-02-01",252.380126953125,250.898086547852,252.329559326172,250.939590454102
"1995-03-01",260.833129882812,259.332122802734,260.332885742188,258.881408691406
"1995-04-01",267.964050292969,266.599182128906,267.571929931641,266.405456542969
"1995-05-01",275.865783691406,275.786773681641,276.024353027344,275.964691162109
"1995-06-01",285.334106445312,285.659729003906,285.2685546875,285.715759277344
"1995-07-01",287.822509765625,287.617004394531,288.012969970703,287.882537841797
"1995-08-01",283.331085205078,282.178009033203,283.124237060547,282.101104736328
"1995-09-01",278.579254150391,277.793487548828,278.121307373047,277.534149169922
"1995-10-01",266.268096923828,265.2060546875,265.874450683594,264.718933105469
"1995-11-01",253.01594543457,250.979537963867,252.676284790039,250.598922729492
"1995-12-01",243.3544921875,239.570404052734,242.144180297852,238.317932128906
